V(V),I(nA)
-0.89441,3.46E-11
-0.80517,2.48E-11
-0.70141,2.87E-11
-0.60698,2.67E-11
-0.50944,2.67E-11
-0.41501,2.87E-11
-0.31643,2.87E-11
-0.22512,3.13E-10
-0.12135,3.09E-10
-0.04042,4.79E-10
0.06335,6.29E-10
0.16297,9.11E-10
0.25636,9.07E-10
0.34871,1.07E-09
0.43795,1.22E-09
0.54275,1.22E-09
0.63925,1.51E-09
0.72953,1.52E-09
0.82396,1.68E-09
0.9298,1.82E-09
1.01489,1.82E-09
1.1145,1.97E-09
1.21723,2.10E-09
1.30025,2.27E-09
1.40816,2.42E-09
1.50155,2.56E-09
1.69975,2.70E-09
1.87926,3.01E-09
2.06915,3.43E-09
2.26839,3.75E-09
2.45828,4.20E-09
2.93353,4.94E-09
3.40982,5.97E-09
3.89648,6.57E-09
