V(V),I(nA)
2.9952,5.96E-09
2.50576,5.12E-09
2.02504,4.22E-09
1.52688,3.29E-09
1.33691,2.85E-09
1.13726,2.57E-09
0.94633,2.28E-09
0.76509,1.97E-09
0.54799,1.67E-09
0.44817,1.49E-09
0.35706,1.36E-09
0.26693,1.22E-09
0.06727,9.26E-10
-0.03255,9.26E-10
-0.12366,6.11E-10
-0.23221,4.78E-10
-0.34076,3.13E-10
-0.41345,1.97E-10
-0.522,3.19E-11
-0.6131,3.19E-11
-0.72165,4.79E-11
-0.81178,4.79E-11
-0.90289,4.79E-11
-1.00271,4.79E-11
-1.11999,4.79E-11
-1.21109,4.79E-11
-1.30219,4.79E-11
-1.40105,4.79E-11
-1.50088,4.79E-11
-1.60071,4.79E-11
-1.69181,4.79E-11
-1.80036,4.79E-11
-1.90019,4.79E-11
