V(V),I(nA)
2.98715328467153E+000,6.85714285714286E-009
2.48262773722628E+000,5.94285714285714E-009
1.99386861313869E+000,5.07142857142857E-009
1.48934306569343E+000,4.21428571428572E-009
1.29226277372263E+000,3.90000000000000E-009
1.07941605839416E+000,3.72857142857143E-009
8.74452554744525E-001,3.47142857142857E-009
6.93138686131387E-001,3.14285714285714E-009
5.03941605839416E-001,2.72857142857143E-009
3.93576642335766E-001,2.72857142857143E-009
2.83211678832117E-001,2.55714285714286E-009
1.96496350364963E-001,2.45714285714286E-009
8.61313868613136E-002,2.45714285714286E-009
-2.42335766423358E-002,2.28571428571429E-009
-9.51824817518250E-002,2.30000000000000E-009
-2.13430656934307E-001,2.14285714285714E-009
-3.15912408759124E-001,1.98571428571429E-009
-4.10510948905110E-001,1.84285714285714E-009
-5.12992700729927E-001,1.45714285714286E-009
-6.07591240875913E-001,1.54285714285714E-009
-7.10072992700730E-001,1.22857142857143E-009
-8.04671532846715E-001,1.27142857142857E-009
-8.91386861313869E-001,1.05714285714286E-009
-1.01751824817518E+000,9.14285714285714E-010
-1.07270072992701E+000,8.00000000000000E-010
-1.19883211678832E+000,6.57142857142857E-010
-1.34861313868613E+000,5.14285714285714E-010
-1.42744525547445E+000,3.00000000000000E-010
-1.49839416058394E+000,2.42857142857143E-010
-1.60087591240876E+000,8.57142857142857E-011
-1.67970802919708E+000,8.57142857142857E-011
-1.71124087591241E+000,5.71428571428571E-011
-1.83737226277372E+000,7.14285714285714E-011
-1.96350364963504E+000,8.57142857142857E-011
