V(V),I(nA)
2.96978637638953E+000,7.17567567567568E-009
2.48730155911496E+000,6.13513513513514E-009
2.00481674184040E+000,5.09459459459459E-009
1.51539492843698E+000,4.09459459459460E-009
1.32524505451575E+000,3.63513513513514E-009
1.22958145399013E+000,3.63513513513514E-009
1.12111730653124E+000,3.29729729729730E-009
9.37281137905317E-001,3.04054054054054E-009
7.47131263984089E-001,2.58108108108108E-009
5.49802003054303E-001,2.25675675675676E-009
4.40714564761871E-001,2.16216216216216E-009
3.65965834428384E-001,2.00000000000000E-009
2.50287672692403E-001,1.81081081081081E-009
1.68567318961537E-001,1.70270270270270E-009
7.32499911212132E-002,1.56756756756757E-009
-3.56296835600383E-002,1.39189189189189E-009
-1.37745498455091E-001,1.24324324324324E-009
-2.33028199026885E-001,1.09459459459459E-009
-3.21858685229250E-001,1.09459459459459E-009
-4.30842241716092E-001,9.59459459459460E-010
-5.05556344781049E-001,7.83783783783784E-010
-6.21407642859680E-001,6.62162162162162E-010
-7.16690343431474E-001,5.13513513513513E-010
-7.98341442625280E-001,3.78378378378378E-010
-9.07671271797422E-001,3.78378378378378E-010
-9.96501757999787E-001,3.78378378378378E-010
-1.09861757289484E+000,2.29729729729730E-010
-1.19390027346663E+000,8.10810810810811E-011
-1.28273075966900E+000,8.10810810810811E-011
-1.38526210178641E+000,9.45945945945946E-011
-1.48089107504351E+000,8.10810810810811E-011
-1.59022090421565E+000,8.10810810810811E-011
-1.69271761906453E+000,8.10810810810811E-011
-1.78841584685869E+000,9.45945945945946E-011
-1.89087793443904E+000,8.10810810810811E-011
