V(V),I(nA)
1.47687043655579E+000,5.82542372881356E-009
1.27135724779091E+000,5.37457627118644E-009
1.06102506194225E+000,4.97118644067797E-009
8.74787861512487E-001,4.33050847457627E-009
6.50209616944768E-001,3.76101694915254E-009
4.39909882254917E-001,3.31016949152542E-009
3.30014032933541E-001,3.02542372881356E-009
2.43969785339970E-001,2.85932203389831E-009
1.43647027868529E-001,2.57457627118644E-009
3.37511785471527E-002,2.28983050847458E-009
-6.66445940316178E-002,2.11186440677966E-009
-1.76621571250027E-001,1.94576271186441E-009
-2.67492928717083E-001,1.83898305084746E-009
-3.72594119323788E-001,1.54237288135593E-009
-4.82562983752494E-001,1.36440677966102E-009
-5.92572412129717E-001,1.24576271186441E-009
-6.78535531826255E-001,9.61016949152542E-010
-7.83742188699103E-001,8.18644067796610E-010
-8.93711053127809E-001,6.40677966101695E-010
-9.79779639090491E-001,5.10169491525424E-010
-1.08975661630890E+000,3.44067796610170E-010
-1.19007937378034E+000,5.93220338983051E-011
-1.31934045212358E+000,9.49152542372881E-011
-1.41503080667441E+000,3.55932203389830E-011
-1.52034292981341E+000,4.74576271186441E-011
-1.60173854890697E+000,8.30508474576271E-011
-1.69746135461662E+000,7.11864406779661E-011
-1.80275725217620E+000,5.93220338983051E-011
-1.92242090030039E+000,5.93220338983051E-011
-2.01814370601004E+000,4.74576271186441E-011
-2.11386651171969E+000,3.55932203389830E-011
